date,lat,lon,intensity
1964/10/31,37.496,-118.377,3.22
1964/11/01,37.525,-118.003,3.42
1964/11/01,37.546,-118.198,3.79
1964/11/01,37.503,-118.132,3.37
1964/11/02,37.604,-118.524,4.05
1964/11/03,37.556,-118.359,3.52
1964/11/04,37.566,-118.267,3.43
1964/11/04,37.523,-118.504,3.32
1964/11/12,37.552,-118.209,3.73
1964/11/13,37.657,-118.409,4.00
1964/11/23,37.504,-118.244,3.91
1964/12/02,37.590,-117.939,3.44
1964/12/14,37.569,-118.283,3.14
1964/12/20,35.959,-114.655,3.61
1964/12/23,36.587,-119.793,3.40
1965/01/09,32.037,-114.549,4.00
1965/01/14,36.434,-120.592,3.55
1965/01/26,36.078,-120.486,3.32
1965/01/26,36.062,-120.343,3.11
1965/02/21,35.881,-120.383,3.54
1965/03/28,36.214,-120.089,3.58
1965/04/09,36.124,-121.570,4.00
1965/04/11,36.239,-120.140,3.53
1965/05/03,36.483,-114.382,4.03
1965/06/03,38.490,-119.105,4.48
1965/06/03,38.581,-119.034,4.16
1965/06/17,32.036,-113.060,4.14
1965/07/23,35.674,-120.853,3.55
1965/09/06,36.023,-119.867,3.29
1965/09/22,37.455,-118.427,4.52
1965/09/26,35.967,-120.050,3.29
1965/10/25,31.788,-114.469,4.39
1965/11/21,30.983,-116.038,3.73
1965/11/23,30.952,-116.299,3.38
1966/01/28,35.909,-120.155,3.18
1966/02/06,38.148,-118.253,3.68
1966/04/08,37.000,-116.000,3.26
1966/04/17,37.489,-118.487,4.05
1966/04/29,37.477,-118.715,3.58
1966/05/27,37.059,-119.798,3.13
1966/06/01,37.678,-117.933,3.35
1966/06/21,35.174,-121.779,4.49
1966/06/24,36.618,-121.176,3.75
1966/06/28,36.526,-121.383,3.80
1966/06/28,35.809,-120.188,4.69
1966/06/28,35.856,-120.446,3.15
1966/06/28,35.791,-120.294,5.47
1966/06/28,35.950,-120.500,4.50
1966/06/28,36.057,-120.323,3.90
1966/06/28,35.820,-120.403,3.24
1966/06/28,35.765,-120.192,4.00
1966/06/28,35.888,-120.362,3.48
1966/06/28,35.905,-120.434,3.12
1966/06/28,35.825,-120.158,3.47
1966/06/28,35.987,-120.422,3.70
1966/06/28,35.846,-120.410,3.76
1966/06/28,36.256,-120.436,3.22
1966/06/28,35.704,-120.262,3.28
